outcome,GUCA2B,GLP2R,SCGN,SLC4A4,CHGA,CA2,GCNT2,PLP1,PYY,CA1,PKIB,ABCA8,RSPO2,BMP3,SLC25A34,CADM3,CLEC3B,MAMDC2,TMEM100,GFRA2,CA7,VSTM2A,HPSE2,GREM2,TMIGD1,OTOP2,GUCA2A,ELANE,LINC00974,UGT1A8,SPIB,NFE2L3,CDH3,TRIB3,CEMIP,WNT2,MTHFD1L,SLC6A6,KLHL35,CLDN1,TMEM41A,KRT80,ENC1,FUT1,CPNE7,LOC101929705,PVT1
1,2.432066904,3.126231226,3.863074697,3.47440674,9.264260883,8.321446726,3.47440674,1.575079433,2.617355168,4.162989899,5.483337909,2.432066904,1.575079433,1.575079433,4.551129394,2.902756386,4.959560306,3.126231226,2.617355168,2.770451697,4.021357114,1.575079433,2.902756386,2.185447527,2.617355168,2.185447527,4.331531587,1.575079433,1.575079433,4.117400561,3.54791424,13.24148383,10.21058957,11.19435545,11.67558693,6.398218233,10.79928517,12.80235061,7.091176577,14.16744482,11.16029698,8.809716308,12.30173508,7.158349794,11.12785995,5.679654383,9.646881125
1,2.905060247,4.025050927,1.575079433,8.466227989,4.025050927,11.70999868,5.359625523,6.356077062,2.905060247,4.774400739,9.143557768,3.749407718,1.575079433,4.621452085,4.774400739,2.905060247,5.153501745,4.621452085,3.749407718,4.025050927,5.843489908,2.905060247,1.575079433,4.253748328,1.575079433,1.575079433,6.307353123,1.575079433,1.575079433,3.749407718,4.253748328,12.09662486,11.1495069,11.09500541,11.22512917,7.920465471,10.62220157,11.05871798,5.621899202,11.5321834,10.0387158,10.39074154,11.51755271,7.001554058,10.00478508,6.873628968,8.552271811
1,5.241569937,4.906296024,8.488354729,9.678361022,15.99116021,10.83171761,8.515461179,7.955340066,4.703264654,10.61612726,10.90675318,8.55705387,8.208862275,5.686977798,7.87389201,10.37424272,9.016062598,8.661283636,7.395704794,8.043117925,7.090366171,6.484406466,10.65842997,11.46834511,3.311786477,4.465847811,8.100508474,3.311786477,1.575079433,6.227327668,10.82554272,11.03604986,11.20016088,10.54462459,9.955006895,5.203737252,10.55118822,11.56138893,7.18990525,9.69200198,10.20380334,9.611744524,11.82974568,8.530724912,9.600939133,5.083802832,9.291653514
1,3.130234328,3.130234328,2.501077935,9.579127201,3.688369941,6.983668163,3.761367948,1.575079433,3.440599573,3.00519694,5.177874592,3.130234328,1.575079433,3.345778687,4.376725552,1.575079433,5.613678662,2.235378709,2.863944001,2.863944001,4.957805466,1.575079433,3.130234328,2.700041649,2.501077935,2.235378709,7.797600048,1.575079433,1.575079433,4.330944155,4.234554089,12.90914662,11.89036819,11.3367264,9.406255908,6.53718837,10.9451583,10.86243281,8.276806123,10.91130356,10.41342762,7.949906515,12.32509975,8.975073936,10.27386418,7.054344751,8.879087811
1,7.121894626,5.344367803,5.782652358,8.743759381,10.67176577,11.54185614,5.610950375,4.588527376,9.380974129,9.985207914,7.763473502,4.818546419,4.313061076,3.96833164,5.105647195,3.96833164,6.424408395,4.920852286,4.457606049,5.016257179,7.444469363,4.151567265,5.269152233,5.835602266,5.935978325,5.886667523,9.973476123,3.502340876,3.756013887,4.588527376,5.344367803,12.45651658,10.13753354,10.46737912,12.66644661,7.356849858,10.72521172,11.64714613,7.011440314,11.44004197,11.04262077,9.380974129,11.5684204,8.069319832,10.88090054,6.78840154,7.410057852
1,1.575079433,3.469098316,2.516643396,3.793366529,3.641431357,10.08313278,5.220172784,2.246664648,2.718655542,2.516643396,4.93783814,4.320296491,3.92954277,3.641431357,4.807015231,2.718655542,6.622958902,3.92954277,2.884953175,3.373150886,3.863201489,1.575079433,3.469098316,6.336148043,1.575079433,2.246664648,2.516643396,1.575079433,1.575079433,6.213516453,4.368017447,12.44622634,11.9184138,9.500805544,12.68601658,9.704368261,10.18685683,13.47265929,9.872645918,12.8835636,10.28590192,9.558545271,12.01713156,6.036655803,10.75900262,6.02210521,8.882749215
1,1.575079433,4.074132402,3.439143134,9.573590334,8.502032097,12.32949109,4.831398286,1.575079433,4.503679119,5.974441101,9.364710746,3.439143134,2.93579127,4.074132402,5.097140232,4.503679119,5.097140232,3.439143134,3.439143134,4.503679119,5.514299693,1.575079433,2.93579127,4.970491137,2.93579127,2.93579127,5.213418547,3.794738694,1.575079433,8.524562041,7.069037419,12.54935801,13.1760344,10.58144822,13.55754424,7.347088572,10.39228496,11.22167151,7.038038459,10.85692614,11.04982485,11.70113438,13.35756962,7.989410086,8.171761656,5.974441101,8.535696415
1,2.337479006,5.645758253,2.963812519,6.709595897,2.641425159,7.616555344,5.741029403,4.223732065,2.117275727,4.498161719,6.606102606,7.052932821,3.835857791,5.448001076,3.41439668,4.525555404,5.390297065,6.732903329,5.078944922,4.679518273,3.742679443,2.337479006,4.525555404,7.345205906,3.052300111,1.575079433,4.703611572,1.575079433,1.575079433,4.818252404,4.38285236,13.60275253,12.27384411,12.10520533,13.58551499,8.630829301,11.09386417,13.20609841,6.927261497,10.93882785,10.17819066,9.421094702,12.48702777,8.909049267,8.76397357,6.059978379,8.16899512
1,1.575079433,4.609559605,3.559769103,4.866729589,6.358623452,7.682146235,4.551947439,3.430388025,1.575079433,2.929031348,6.833910881,3.430388025,3.28586675,2.693386647,4.429055689,3.430388025,6.423395491,3.430388025,3.559769103,3.559769103,2.693386647,2.375483883,4.221511766,5.162648047,1.575079433,1.575079433,8.098417321,2.693386647,1.575079433,4.95776272,4.363279272,12.61884316,10.04818523,10.52799011,12.81732109,7.600554476,11.26649074,11.72757536,8.284068435,12.87664101,10.25893443,10.08988393,12.89671528,7.124103012,10.60844262,4.769424354,8.949097206
1,3.148355752,3.920721367,3.315117813,8.705023982,6.812382291,8.252392134,4.014216093,3.148355752,2.953112936,3.148355752,7.022263726,4.101642526,3.920721367,4.813426984,4.813426984,3.920721367,6.83727026,2.713719144,3.920721367,4.594409908,7.434651855,1.575079433,4.957899467,5.872197249,3.315117813,1.575079433,9.000317961,2.390386848,1.575079433,4.813426984,8.116753342,12.80982815,11.3160068,11.56895231,12.40054459,8.74171409,10.977966,11.52226659,4.594409908,8.075535374,10.94330438,9.409792738,13.48558416,7.735225808,6.135979132,6.194997231,9.030286465
